suite	program	engine	med_ms	q1_ms	q3_ms	samples	truncated	steps	entries	rel
eleven	gcd-fx	b/s-x	1.3499	1.1479	1.3689	15	false	245	101	---
eleven	gcd-fx	gpm/s-x	0.9612	0.9250	1.0129	15	false	139	82	---
eleven	gcd-fx	gpm/f-x	0.2866	0.2764	0.2954	15	false	49	37	---
eleven	ackermann-fx	b/s-x	4.8730	4.7939	5.0869	15	false	711	194	---
eleven	ackermann-fx	gpm/s-x	4.2759	3.9893	4.3767	15	false	406	154	---
eleven	ackermann-fx	gpm/f-x	1.8650	1.7468	1.9741	15	false	201	85	---
eleven	collatz-fx	b/s-x	11.2820	11.1792	11.3530	15	false	1639	174	---
eleven	collatz-fx	gpm/s-x	10.2559	10.1990	10.3040	15	false	1099	135	---
eleven	collatz-fx	gpm/f-x	10.0059	9.9670	10.0161	15	false	1059	99	---
eleven	mccarthy91-fx	b/s-x	1.2471	1.1790	1.4661	15	false	296	110	---
eleven	mccarthy91-fx	gpm/s-x	1.0449	1.0129	1.0759	15	false	167	86	---
eleven	mccarthy91-fx	gpm/f-x	0.8401	0.8301	0.8469	15	false	119	53	---
eleven	tak-fx	b/s-x	13.3547	13.3098	13.4429	15	false	1519	247	---
eleven	tak-fx	gpm/s-x	11.5632	11.4529	11.7361	15	false	869	197	---
eleven	tak-fx	gpm/f-x	3.6089	3.5442	3.7380	15	false	328	91	---
eleven	lattice-fx	b/s-x	8.4819	8.4651	8.5349	15	false	1081	282	---
eleven	lattice-fx	gpm/s-x	7.4260	7.3611	7.5010	15	false	646	223	---
eleven	lattice-fx	gpm/f-x	3.0872	2.9639	3.1570	15	false	310	136	---
eleven	church-fx	b/s-x	25.5420	25.3982	25.6440	15	false	2040	350	---
eleven	church-fx	gpm/s-x	21.0581	20.8850	21.2573	15	false	1235	285	---
eleven	church-fx	gpm/f-x	1.6941	1.6450	1.7859	15	false	194	118	---
eleven	fermat-fx	b/s-x	342.2913	341.1912	344.1079	15	false	8340	632	---
eleven	fermat-fx	gpm/s-x	278.0461	277.2781	279.2151	15	false	5244	511	---
eleven	fermat-fx	gpm/f-x	4.1521	3.9749	4.2412	15	false	439	244	---
eleven	rsa-fx	b/s-x	241.0352	240.4558	241.5769	15	false	6072	743	---
eleven	rsa-fx	gpm/s-x	188.3391	186.9292	189.3660	15	false	3797	602	---
eleven	rsa-fx	gpm/f-x	174.0811	173.4631	174.8323	15	false	9760	309	---
eleven	mbrotz-fx	b/s-x	629.4001	627.2400	631.2898	15	false	9054	938	---
eleven	mbrotz-fx	gpm/s-x	469.8711	468.8521	471.6890	15	false	5598	761	---
eleven	mbrotz-fx	gpm/f-x	11.2720	11.1438	11.3547	15	false	1235	338	---
bench	fib	b/s-x	1.8042	1.7458	1.9819	15	false	399	140	---
bench	fib	gpm/s-x	1.5579	1.4280	1.6001	15	false	233	111	---
bench	fib	gpm/f-x	1.1711	1.1331	1.2161	15	false	161	69	---
bench	fact	b/s-x	0.4980	0.4829	0.5149	15	false	147	81	---
bench	fact	gpm/s-x	0.4249	0.4065	0.4470	15	false	84	64	---
bench	fact	gpm/f-x	0.2891	0.2850	0.3049	15	false	55	37	---
bench	power2	b/s-x	2.5867	2.5571	2.6279	15	false	450	78	---
bench	power2	gpm/s-x	2.2478	2.2271	2.3457	15	false	327	61	---
bench	power2	gpm/f-x	2.1301	2.1118	2.1729	15	false	303	37	---
