suite	program	engine	med_ms	q1_ms	q3_ms	samples	truncated	steps	entries	rel
eleven	gcd-fx	b/s-x	1.1350	1.0752	1.3552	15	false	245	101	---
eleven	gcd-fx	gpm/s-x	0.9519	0.9219	1.0239	15	false	139	82	---
eleven	gcd-fx	gpm/f-x	0.2854	0.2765	0.3009	15	false	49	37	---
eleven	ackermann-fx	b/s-x	5.0012	4.7900	5.1121	15	false	711	194	---
eleven	ackermann-fx	gpm/s-x	4.2532	3.9839	4.3088	15	false	406	154	---
eleven	ackermann-fx	gpm/f-x	1.8708	1.7527	1.9751	15	false	201	85	---
eleven	collatz-fx	b/s-x	11.2500	11.1240	11.3149	15	false	1639	174	---
eleven	collatz-fx	gpm/s-x	10.2461	10.1721	10.2959	15	false	1099	135	---
eleven	collatz-fx	gpm/f-x	9.9912	9.9412	10.0159	15	false	1059	99	---
eleven	mccarthy91-fx	b/s-x	1.2639	1.1831	1.4810	15	false	296	110	---
eleven	mccarthy91-fx	gpm/s-x	1.0488	1.0151	1.0588	15	false	167	86	---
eleven	mccarthy91-fx	gpm/f-x	0.8491	0.8152	0.8591	15	false	119	53	---
eleven	tak-fx	b/s-x	13.3489	13.3191	13.4900	15	false	1519	247	---
eleven	tak-fx	gpm/s-x	11.4092	11.2158	11.5769	15	false	869	197	---
eleven	tak-fx	gpm/f-x	3.7549	3.4758	3.7922	15	false	328	91	---
eleven	lattice-fx	b/s-x	8.4890	8.4648	8.5598	15	false	1081	282	---
eleven	lattice-fx	gpm/s-x	7.4609	7.3230	7.4810	15	false	646	223	---
eleven	lattice-fx	gpm/f-x	3.0049	2.9189	3.0229	15	false	310	136	---
eleven	church-fx	b/s-x	25.4668	25.2859	25.5652	15	false	2040	350	---
eleven	church-fx	gpm/s-x	21.0891	20.8010	21.1511	15	false	1235	285	---
eleven	church-fx	gpm/f-x	1.7080	1.6543	1.7910	15	false	194	118	---
eleven	fermat-fx	b/s-x	342.4900	341.7480	346.7190	15	false	8340	632	---
eleven	fermat-fx	gpm/s-x	278.7249	276.9211	279.8123	15	false	5244	511	---
eleven	fermat-fx	gpm/f-x	4.1362	4.0190	4.2461	15	false	439	244	---
eleven	rsa-fx	b/s-x	241.5229	240.6489	242.2981	15	false	6072	743	---
eleven	rsa-fx	gpm/s-x	187.7749	186.5142	188.2861	15	false	3797	602	---
eleven	rsa-fx	gpm/f-x	173.8550	173.4031	174.3728	15	false	9760	309	---
eleven	mbrotz-fx	b/s-x	628.3711	627.2979	630.7981	15	false	9054	938	---
eleven	mbrotz-fx	gpm/s-x	470.9299	469.1240	472.6770	15	false	5598	761	---
eleven	mbrotz-fx	gpm/f-x	11.2971	11.2280	11.4421	15	false	1235	338	---
bench	fib	b/s-x	1.8149	1.7378	1.9780	15	false	399	140	---
bench	fib	gpm/s-x	1.5569	1.4302	1.5940	15	false	233	111	---
bench	fib	gpm/f-x	1.1821	1.1311	1.2173	15	false	161	69	---
bench	fact	b/s-x	0.4958	0.4873	0.5171	15	false	147	81	---
bench	fact	gpm/s-x	0.4185	0.4047	0.4441	15	false	84	64	---
bench	fact	gpm/f-x	0.2949	0.2855	0.3085	15	false	55	37	---
bench	power2	b/s-x	2.5901	2.5557	2.6201	15	false	450	78	---
bench	power2	gpm/s-x	2.2632	2.2263	2.3418	15	false	327	61	---
bench	power2	gpm/f-x	2.1440	2.1260	2.1880	15	false	303	37	---
