suite	program	engine	med_ms	q1_ms	q3_ms	samples	truncated	steps	entries	rel
paper	gcd	b/s-x	1.0759	1.0500	1.1841	15	false	245	101	==
paper	gcd	gpm/s-x	0.9382	0.9250	0.9739	15	false	139	82	==
paper	gcd	gpm/f-x	0.2965	0.2710	0.3145	15	false	49	37	==
paper	ackermann	b/s-x	4.7058	4.6370	4.8450	15	false	683	186	==
paper	ackermann	gpm/s-x	4.2539	4.0811	4.2849	15	false	390	148	==
paper	ackermann	gpm/f-x	1.8879	1.8237	1.9041	15	false	185	79	==
paper	collatz	b/s-x	1.3730	1.2700	1.5159	15	false	282	140	==
paper	collatz	gpm/s-x	1.2520	1.2188	1.3691	15	false	164	109	==
paper	collatz	gpm/f-x	1.0542	1.0178	1.1841	15	false	124	73	==
paper	mccarthy91	b/s-x	1.0920	1.0210	1.1680	15	false	268	102	==
paper	mccarthy91	gpm/s-x	0.9551	0.9338	0.9932	15	false	151	80	==
paper	mccarthy91	gpm/f-x	0.7251	0.7019	0.7300	15	false	103	47	==
paper	tak	b/s-x	13.7188	13.5122	13.8701	15	false	1519	247	==
paper	tak	gpm/s-x	11.5071	11.3191	11.6418	15	false	869	197	==
paper	tak	gpm/f-x	3.8091	3.6750	3.9270	15	false	328	91	==
paper	lattice	b/s-x	8.2102	7.7297	8.3757	15	false	1047	274	==
paper	lattice	gpm/s-x	7.1453	7.0552	7.2251	15	false	628	217	==
paper	lattice	gpm/f-x	2.7988	2.7131	2.8518	15	false	291	130	==
paper	church	b/s-x	22.8401	22.7671	22.8992	15	false	1807	321	=<
paper	church	gpm/s-x	19.7332	19.6589	19.8140	15	false	1087	261	=<
paper	church	gpm/f-x	1.8311	1.6318	1.8691	15	false	194	118	=<
paper	fermat	b/s-x	339.9832	338.1101	342.8931	15	false	8232	624	=<
paper	fermat	gpm/s-x	280.3240	279.5752	281.5281	15	false	5180	505	=<
paper	fermat	gpm/f-x	4.1519	3.8901	4.2468	15	false	423	238	=<
paper	rsa	b/s-x	237.5732	235.8230	238.5918	15	false	6004	735	==
paper	rsa	gpm/s-x	188.3010	186.2839	188.5618	15	false	3757	596	==
paper	rsa	gpm/f-x	168.2310	167.8640	168.3672	15	false	8982	303	==
paper	mbrotz	b/s-x	583.3181	581.3711	584.3948	15	false	8239	880	==
paper	mbrotz	gpm/s-x	444.4810	442.5771	445.9373	15	false	5068	714	==
paper	mbrotz	gpm/f-x	6.2808	5.9482	6.3630	15	false	544	322	==
paper	fib	b/s-x	1.6418	1.5740	1.7988	15	false	374	132	==
paper	fib	gpm/s-x	1.5110	1.4070	1.5801	15	false	219	105	==
paper	fib	gpm/f-x	1.0771	1.0518	1.1099	15	false	147	63	==
paper	fact	b/s-x	0.4771	0.4666	0.5001	15	false	147	81	==
paper	fact	gpm/s-x	0.4299	0.4070	0.4364	15	false	84	64	==
paper	fact	gpm/f-x	0.2996	0.2850	0.3076	15	false	55	37	==
paper	power2	b/s-x	2.5420	2.4929	2.6140	15	false	450	78	==
paper	power2	gpm/s-x	2.3032	2.2642	2.3689	15	false	327	61	==
paper	power2	gpm/f-x	2.2031	2.1360	2.2102	15	false	303	37	==
